Scheme Name,Net Asset Value
NIPPON INDIA LOW DURATION FUND - QUARTERLY IDCW Option,1027.1647
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - DAILY IDCW Option,1009.0158
Nippon India Low Duration Fund - Retail Plan - Growth Plan - Growth Option,3073.2001
Nippon India Low Duration Fund - Retail Plan - Growth Plan -Bonus Option,2290.0465
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - MONTHLY IDCW Option,1029.6680
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - QUARTERLY IDCW Option,1027.0690
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - WEEKLY IDCW Option,1009.3585
NIPPON INDIA LOW DURATION FUND - WEEKLY IDCW Option,1009.1850
Nippon India Low Duration Fund -Growth Plan -Bonus Option,1872.4136
Nippon India Low Duration Fund- Growth Plan - Growth Option,3224.9347
PGIM India Low Duration Fund  -  Annual  Bonus,13.5767
PGIM India Low Duration Fund - ANNUAL DIV,9.3875
PGIM India Low Duration Fund - DAILY DIV,9.9249
PGIM India Low Duration Fund - Direct Dividend,9.8385
PGIM India Low Duration Fund - Direct Plan -  Annual  Bonus,14.178
PGIM India Low Duration Fund - Direct Plan - Annual Dividend,10.4116
PGIM India Low Duration Fund - Direct Plan - Daily Dividend,10.0271
PGIM India Low Duration Fund - Direct Plan - Fortnightly Dividend,8.6068
PGIM India Low Duration Fund - Direct Plan - Growth,27.2665
PGIM India Low Duration Fund - Direct Plan - Monthly Bonus,13.7182
PGIM India Low Duration Fund - Direct Plan - Monthly Dividend,10.2643
PGIM India Low Duration Fund - Direct Plan - Quarterly Dividend,8.7376
PGIM India Low Duration Fund - Direct Plan - Weekly Dividend,10.2268
PGIM India Low Duration Fund - FORTNIGHTLY DIV,8.5967
PGIM India Low Duration Fund - GR,25.4827
PGIM India Low Duration Fund - Monthly Bonus Option,12.0399
PGIM India Low Duration Fund - QUARTERLY DIV,8.6643
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Annual Dividend Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Monthly Dividend Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Quarterly Dividend Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Regular Plan - Growth Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Regular Plan - Monthly Dividend Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Regular Plan- Annual Dividend Option,0
PGIM India Low Duration Fund - Segregated Portfolio 1- Regular Plan - Quarterly Dividend Option,0
PGIM India Low Duration Fund DIV OPTION,9.4582
PGIM India Low Duration Fund INSTITUTIONAL - MONTHLY DIV,9.9688
PGIM India Low Duration Fund INSTITUTIONAL -GR,21.6022
PGIM India Low Duration Fund INSTITUTIONAL -Weekly,9.3644
PGIM India Low Duration Fund INSTITUTIONAL-Daily,9.3258
PGIM India Low Duration Fund- Bonus Option,16.8702
PGIM India Low Duration Fund- MONTHLY DIV,10.1799
PGIM India Low Duration Fund- WEEKLY DIV,10.0089
SBI Magnum Low Duration Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1194.5125
SBI Magnum Low Duration Fund - Direct Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1215.3136
SBI MAGNUM LOW DURATION FUND - DIRECT PLAN - GROWTH,3098.5336
SBI Magnum Low Duration Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1376.8501
SBI Magnum Low Duration Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1196.1990
SBI Magnum Low Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1173.6854
SBI Magnum Low Duration Fund - Regular Plan - Fornightly Income Distribution cum Capital Withdrawal Option (IDCW),1194.2201
SBI MAGNUM LOW DURATION FUND - REGULAR PLAN - GROWTH,3013.2258
SBI Magnum Low Duration Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1321.6028
SBI Magnum Low Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1173.6688
SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1173.7460
SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Growth,3066.3268
SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),N.A.
SBI Short Horizon Debt Fund - Ultra Short Term Fund- Institutional Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1171.0413
SBI Short Horizon Debt Fund -Ultra Short Term Fund - Institutional Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),N.A.
Sundaram Low Duration Fund (Formerly Know as Principal Low Duation Fund) Regular Principal Units,1159.1609
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Daily Income Distribution CUM Capital Withdrawal Option,1008.2604
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Growth Option,3159.9516
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Monthly Income Distribution CUM Capital Withdrawal Option,1101.5945
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Weekly Income Distribution CUM Capital Withdrawal Option,1006.2499
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Weekly Income Distribution CUM Capital Withdrawal Option,1009.3745
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) -Daily Income Distribution CUM Capital Withdrawal Option,1014.6123
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Direct Fortnightly IDCW,1096.2914
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Regular Fortnightly IDCW,1086.4419
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) Regular Quarterly IDCW,1120.2346
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund)- Growth Option,2993.1343
Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund)- Monthly Income Distribution CUM Capital Withdrawal Option,1090.9869
Sundaram Low Duration Fund(Formerly Known as Principal Low Duration Fund) Direct Quarterly IDCW,1142.4677
Tata Treasury Advantage Fund - Direct Plan - Growth Option,3453.5528
Tata Treasury Advantage Fund - Regular Plan - Growth Option,3383.3619
Tata Treasury Advantage Fund Direct Plan - Daily Reinvestment of IDCW Option,1003.5316
Tata Treasury Advantage Fund Direct Plan - Periodic Payout of IDCW Option,2189.7664
Tata Treasury Advantage Fund Direct Plan - Weekly Payout of IDCW Option,1008.4429
Tata Treasury Advantage Fund Regular Plan - Daily Reinvestment of IDCW Option,1003.5288
Tata Treasury Advantage Fund Regular Plan - Periodic Payout of IDCW Option,2144.5558
Tata Treasury Advantage Fund Regular Plan - Weekly Payout of IDCW Option,1008.4342
UTI - Treasury Advantage Fund - Direct Plan - Bonus Option,2199.7192
UTI - Treasury Advantage Fund - Direct Plan - Growth Option,3080.2067
UTI - Treasury Advantage Fund - Discontinued - Annaul Dividend Option,2905.7264
UTI - Treasury Advantage Fund - Discontinued - Periodic Dividend Plan,1049.25
UTI - Treasury Advantage Fund - Discontinued - Quarterly Dividend Option,1912.1338
UTI - Treasury Advantage Fund - Discontinued Bonus Option,3604.7992
UTI - Treasury Advantage Fund - Discontinued Flexi Dividend Plan,1087.9886
UTI - Treasury Advantage Fund - Discontinued Growth Option,5407.8153
UTI - Treasury Advantage Fund - Discontinued Monthly Dividend Option,1033.3374
UTI - Treasury Advantage Fund - Regular Plan - Bonus Option,2539.0064
UTI - Treasury Advantage Fund - Regular Plan - Growth Option,3037.857
UTI Treasury Advantage Fund - Direct Plan - Annual IDCW,1140.1888
UTI Treasury Advantage Fund - Direct Plan - Daily IDCW (Reinvestment),1176.0076
UTI Treasury Advantage Fund - Direct Plan - Flexi IDCW,1307.1972
UTI Treasury Advantage Fund - Direct Plan - Fortnightly IDCW,1340.553
UTI Treasury Advantage Fund - Direct Plan - Half-Yearly IDCW,1191.6628
UTI Treasury Advantage Fund - Direct Plan - Monthly IDCW,1202.5998
UTI Treasury Advantage Fund - Direct Plan - Quarterly IDCW,1651.5135
UTI Treasury Advantage Fund - Direct Plan - Weekly IDCW,1021.7565
UTI Treasury Advantage Fund - Regular Plan - Daily IDCW (Reinvestment),1170.8565
UTI Treasury Advantage Fund - Regular Plan - Flexi IDCW,1155.4204
UTI Treasury Advantage Fund - Regular Plan - Fortnightly IDCW,1331.851
UTI Treasury Advantage Fund - Regular Plan - Half-Yearly IDCW,1199.104
UTI Treasury Advantage Fund - Regular Plan - Monthly IDCW,1194.2997
UTI Treasury Advantage Fund - Regular Plan - Quarterly IDCW,1254.881
UTI Treasury Advantage Fund - Regular Plan - Weekly IDCW,1173.8062
Aditya Birla Sun Life Medium Term Plan - DIRECT - HALF YEARLY IDCW,13.2206
Aditya Birla Sun Life Medium Term Plan - Direct - IDCW,16.2361
Aditya Birla Sun Life Medium Term Plan - DIRECT - Quarterly IDCW,12.9007
Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan,34.8369
Aditya Birla Sun Life Medium Term Plan - Growth - Regular Plan,32.5293
Aditya Birla Sun Life Medium Term Plan - Institutional - Growth Plan,22.1442
Aditya Birla Sun Life Medium Term Plan - REGULAR - HALFYEARLY IDCW,12.6582
Aditya Birla Sun Life Medium Term Plan - Regular - IDCW,15.1037
Aditya Birla Sun Life Medium Term Plan - REGULAR - Quarterly IDCW,12.5145
Aditya Birla Sun Life Medium term Plan- Segregated Portfolio 1- Growth- Regular Plan,.546
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-DIRECT - HALF YEARLY IDCW,.2521
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-DIRECT - IDCW,.3338
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-Direct - Quarterly IDCW,.2399
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-Growth - Direct Plan,.571
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-REGULAR - HALFYEARLY IDCW,.2403
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-Regular - IDCW,.3178
Aditya Birla Sun Life Medium Term Plan- Segregated Portfolio 1-REGULAR - Quarterly IDCW,.2373
Axis Strategic Bond Fund - Direct Plan - Growth Option,25.7282
Axis Strategic Bond Fund - Direct Plan - Half Yearly IDCW,11.4749
Axis Strategic Bond Fund - Direct Plan - Quarterly IDCW,10.4865
Axis Strategic Bond Fund - Regular Plan - Bonus Option,13.2560
Axis Strategic Bond Fund - Regular Plan - Growth Option,23.7440
Axis Strategic Bond Fund - Regular Plan - Half Yearly IDCW,10.5948
Axis Strategic Bond Fund - Regular Plan - Quarterly IDCW,10.3239
BANDHAN Bond Fund - Medium Term - Regular Plan - Bi-Monthly IDCW,12.1211
BANDHAN Bond Fund - Medium Term - Regular Plan - Daily IDCW,10.2872
BANDHAN Bond Fund - Medium Term - Regular Plan - Fortnightly IDCW,10.3001
BANDHAN Bond Fund - Medium Term - Regular Plan - Growth,39.5718
BANDHAN Bond Fund - Medium Term - Regular Plan - IDCW Quarterly,11.1027
BANDHAN Bond Fund - Medium Term - Regular Plan - Monthly IDCW,10.2800
BANDHAN Bond Fund - Medium Term - Regular Plan - Periodic IDCW,12.4656
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Bi Monthly IDCW,12.5154
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Daily IDCW,10.4239
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Fortnightly IDCW,10.3014
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Growth,42.4798
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Monthly IDCW,10.5166
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Periodic IDCW,11.0913
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Quartely IDCW,11.2750
Baroda BNP Paribas Medium Duration - Regular Plan - Monthly IDCW - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration - Regular Plan - Quarterly IDCW - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund  - Direct Plan - Weekly IDCW - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Daily IDCW Option - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Growth Option - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Monthly IDCW Option - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Weekly IDCW Option - Segregated Portfolio - 1,0
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Annual IDCW Option,10.9151
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Calendar Quarterly IDCW Option,10.2739
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Daily IDCW - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Growth - Segregated Portfolio - 1,0
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Growth Option,17.3040
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Half yearly IDCW Option,10.0000
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Monthly IDCW - Segregated Portfolio - 1,0
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Monthly IDCW Option,10.6134
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Quarterly IDCW - Segregated Portfolio - 1,0
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Annual IDCW Option,10.7838
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Calendar Quarterly IDCW Option,10.4087
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Daily IDCW - Segregated Portfolio - 1,0
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Growth - Segregated Portfolio - 1,0
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Growth Option,16.2819
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Half Yearly IDCW Option,10.4144
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Monthly IDCW Option,10.2747
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Weekly IDCW - Segregated Portfolio - 1,0
DSP Bond Fund - Direct Plan - Growth,73.5905
DSP Bond Fund - Direct Plan - IDCW,11.5694
DSP Bond Fund - Direct Plan - IDCW - Monthly,11.1701
DSP Bond Fund - Growth,69.8266
DSP Bond Fund - IDCW,11.4590
DSP Bond Fund - IDCW - Monthly,11.0739
Franklin India Income Opportunities Fund - Direct - Growth,26.5759
Franklin India Income Opportunities Fund - Direct - IDCW ,12.4807
Franklin India Income Opportunities Fund - Growth,24.9338
Franklin India Income Opportunities Fund - IDCW ,11.5593
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Dividend Plan,0.0000
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Growth Plan,0.0000
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Dividend Plan,0.0000
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,0.0000
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW,0.2589
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - IDCW,0.2418
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan,0.5513
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,0.5215
HDFC Medium Term Debt Fund - Fornightly IDCW Option,10.1344
HDFC Medium Term Debt Fund - Fortnightly IDCW Opt - Direct Plan,10.1358
HDFC Medium Term Debt Fund - Growth Option,48.2145
HDFC Medium Term Debt Fund - Growth Option - Direct Plan,51.5784
HDFC Medium Term Debt Fund - IDCW Option,17.3995
HDFC Medium Term Debt Fund - IDCW Option - Direct Plan,18.4097
HSBC Medium Duration Fund - Direct Annual IDCW,11.7891
HSBC Medium Duration Fund - Direct Growth,18.7231
HSBC Medium Duration Fund - Direct IDCW,11.5799
HSBC Medium Duration Fund - Regular Annual IDCW,10.9416
HSBC Medium Duration Fund - Regular Growth,17.4129
HSBC Medium Duration Fund - Regular IDCW,10.7189
ICICI Prudential Medium Term Bond Fund - Annual IDCW,12.9357
ICICI Prudential Medium Term Bond Fund - Bonus,15.0013
ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,41.3388
ICICI Prudential Medium Term Bond Fund - Direct Plan - Half Yearly IDCW,11.1332
ICICI Prudential Medium Term Bond Fund - Direct Plan - Quarterly IDCW,11.2176
ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus,16.1701
ICICI Prudential Medium Term Bond Fund - Growth,38.1633
ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW,10.6331
ICICI Prudential Medium Term Bond Fund - Quarterly IDCW,10.6579
ICICI Prudential Medium Term Bond Fund -Direct Plan - Annual IDCW,14.3488
ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend,10.0458
ICICI Prudential Medium Term Bond Fund Plan B - Half Yearly Dividend,10.8612
ICICI Prudential Medium Term Bond Fund Plan B - Quarterly Dividend,10.6002
ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend,10.4491
ICICI Prudential Medium Term Bond Fund-Plan B-Growth,32.0584
Invesco India Medium Duration Fund - Direct - Discretionary IDCW (Payout/Reinvestment),1086.4328
Invesco India Medium Duration Fund - Direct - Growth,1086.3722
Invesco India Medium Duration Fund - Direct - Quarterly IDCW (Payout / Reinvestment)),1060.8737
Invesco India Medium Duration Fund - Regular - Discretionary IDCW(Payout / Reinvestment)),1067.5601
Invesco India Medium Duration Fund - Regular - Growth,1067.5606
Invesco India Medium Duration Fund - Regular - Quarterly IDCW (Payout / Reinvestment),1048.8644
Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option,20.9422
Kotak Medium Term Fund - Direct Growth,20.9404
Kotak Medium Term Fund - Growth,19.229
Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option,11.8025
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - IDCW Option,0.0000
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - QUARTERLY IDCW Option,0.0000
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - IDCW Option,0.0000
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY IDCW Option,0.0000
Nippon India Strategic Debt Fund - Bonus Option,10.5217
Nippon India Strategic Debt Fund - Direct Plan - Bonus Option,14.2108
Nippon India Strategic Debt Fund - Direct Plan - Growth Option,14.2076
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - IDCW Option,11.9837
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - QUARTERLY IDCW Option,10.1165
Nippon India Strategic Debt Fund - Growth Option,13.2706
NIPPON INDIA STRATEGIC DEBT FUND - IDCW Option,11.3559
NIPPON INDIA STRATEGIC DEBT FUND - QUARTERLY IDCW Option,9.7882
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Bonus Option,0.1794
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Bonus Option,0.1888
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,0.1886
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - IDCW Option,0.1591
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option,0.1343
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Growth Option,0.1794
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - IDCW Option,0.1535
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - QUARTERLY IDCW Option,0.1323
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Bonus Option,0.0000
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Direct Plan - Bonus Option,0.0000
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Direct Plan - Growth Option,0.0000
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Growth Option,0.0000
SBI MAGNUM MEDIUM DURATION FUND - DIRECT PLAN - GROWTH,46.7591
SBI Magnum Medium Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),18.1760
SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,43.7466
SBI Magnum Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),16.9570
Sundaram Medium Term Bond Fund Direct Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),13.8268
Sundaram Medium Term Bond Fund Direct Plan - Growth,67.0698
Sundaram Medium Term Bond Fund Direct Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),24.5095
Sundaram Medium Term Bond Fund Institutional Plan - Growth,69.1720
Sundaram Medium Term Bond Fund Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),12.4403
Sundaram Medium Term Bond Fund Regular Plan - Bonus,20.9062
Sundaram Medium Term Bond Fund Regular Plan - Growth,61.2111
Sundaram Medium Term Bond Fund Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),12.8320
Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),12.5682
Tata Medium Term Fund -Regular Plan - Growth Option,29.7872
Tata Medium Term Fund- Direct Plan - Payout of IDCW Option,15.2302
Tata Medium Term Fund- Direct Plan- Growth Option,32.7645
Tata Medium Term Fund- Regular Plan - Payout of IDCW option,13.5481
Union Medium Duration Fund - Direct Plan -  Growth Option,11.2042
Union Medium Duration Fund - Direct Plan - IDCW Option,11.2042
Union Medium Duration Fund - Regular Plan -  Growth Option,11.1044
Union Medium Duration Fund - Regular Plan - IDCW Option,11.1044
UTI Medium Term Fund - Direct Plan - Annual IDCW,12.7896
UTI Medium Term Fund - Direct Plan - Flexi IDCW,12.9791
UTI Medium Term Fund - Direct Plan - Growth Option,16.6916
UTI Medium Term Fund - Direct Plan - Half-Yearly IDCW,12.5026
UTI Medium Term Fund - Direct Plan - Monthly IDCW,10.5044
UTI Medium Term Fund - Direct Plan - Quarterly IDCW,12.49
UTI Medium Term Fund - Regular Plan - Annual IDCW,12.0047
UTI Medium Term Fund - Regular Plan - Flexi IDCW,11.6581
UTI Medium Term Fund - Regular Plan - Growth Option,15.7831
UTI Medium Term Fund - Regular Plan - Half-Yearly IDCW,11.7087
UTI Medium Term Fund - Regular Plan - Monthly IDCW,11.3824
UTI Medium Term Fund - Regular Plan - Quarterly IDCW,12.1501
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Annual Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Flexi Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Growth Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Half Yearly Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Monthly Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Quarterly Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Annual Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Flexi Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Growth Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Half Yearly Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Monthly Dividend Option,0
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Quarterly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct  Plan - Monthly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Annual Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Flexi Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Growth Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Half Yearly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Quarterly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Annual Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Flexi Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Growth Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Half Yearly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Monthly Dividend Option,0
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Quarterly Dividend Option,0
UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option,0.3663
UTI - Medium Term Fund (Segregated - 17022020) - Regular Plan - Growth Option,0.3488
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW,0.2973
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW,0.2864
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW,0.2895
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Monthly IDCW,0.2595
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW,0.2867
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW,0.2818
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW,0.2488
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW,0.2764
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Monthly IDCW,0.2515
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,0.2721
Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),27.3028
Aditya Birla Sun Life Income Fund - Direct - IDCW,13.2144
Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,14.2146
Aditya Birla Sun Life Income Fund - Growth - Direct Plan,115.6273
Aditya Birla Sun Life Income Fund - Growth - Regular Plan,108.2232
Aditya Birla Sun Life Income Fund - Regular - IDCW,12.515
Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.3647
BANDHAN Bond Fund - Income Plan - Regular Plan - Annual IDCW,11.6670
BANDHAN Bond Fund - Income Plan - Regular Plan - Growth,56.9573
BANDHAN Bond Fund - Income Plan - Regular Plan - Half-yearly IDCW,11.8643
BANDHAN Bond Fund - Income Plan - Regular Plan - Periodic IDCW,12.2244
BANDHAN Bond Fund - Income Plan - Regular Plan - Quarterly IDCW,12.1340
BANDHAN Bond Fund - Income Plan-Direct Plan-Annual IDCW,15.9579
BANDHAN Bond Fund - Income Plan-Direct Plan-Growth,61.4450
BANDHAN Bond Fund - Income Plan-Direct Plan-Half Yearly IDCW,12.7486
BANDHAN Bond Fund - Income Plan-Direct Plan-Periodic IDCW,14.9437
